prediction,goldlabel,questions,passages_len
rares et tardives,d'incessantes campagnes furent menées,question: Pour quelles raisons manque-t-on d'etudes sur les arts vestimentaires traditionnels? </s>,1
7 milliards d'euros,milliards d'euros,question: Quel est l'ordre de grandeur de l'aide fiscale en 2015 ? </s>,1
Nicolas Prost,Olivier Pla,question: Qui gagne cette seance ? </s>,1
LNH,LNH,question: Dans quelle ligue jouait Martin Brodeur? </s>,1
sa sur,section terrorisme de la P.J. de Liège,question: Qui arreta Paul ? </s>,1
1610,1610,question: En quelle annee Poutrincourt revient-il s'etablir a Port-Royal ? </s>,1
Anne Boleyn,Anne Boleyn,question: Qui etait la 2eme epouse du roi Henri VIII? </s>,1
Alexandre III,Alexandre de Battenberg,question: Qui deteste le tsar? </s>,1
après la loi du 12 novembre 1968 sur l'enseignement supérieur,1968,question: Quand les IEP sont-ils devenus des etablissements publics a caractere scientifique et culturel ? </s>,1
lance une politique d'islamisation brutale,lance une politique d'islamisation brutale,question: Que fait Muhammad Zia-ul-Haq ? </s>,1
consul de France,le consul de France,question: Contre qui le dey d'Alger est il fache ? </s>,1
Grand Prix de Suisse 1954,Le podium du Grand Prix de Suisse,question: Quel a ete le meilleur resultat de Hans Herrmann en 1954 ? </s>,1
spectateurs,Meazza,question: Qui a inscrit les buts de la rencontre Inter - Genoa ? </s>,1
13 octobre 1938,13 octobre 1938,question: Quand a lieu l'accident de Doris Day ? </s>,1
100 000,10 000,question: Combien de personnes peuvent etre accueillis a l'interieur de l'edifice principal ? </s>,1
Mathieu Oullion,Le scénariste Mathieu Oul,question: Qui remplace yves Le rolland? </s>,1
laboratoire,un laboratoire,question: Ou se rendent les trois defenseurs des animaux ? </s>,1
palais,fond de l'eau,question: Ou se trouve la soeur du chevreau ? </s>,1
lorsque la formation exige de suivre une année de maîtrise d,La scission s'opère lorsque la formation,question: quand est ce qu'a lieu la scission </s>,1
"gérer des activités à long terme, de prévoir, de","de gérer des activités à long terme, de prévoir,",question: Qu'est-ce qui n'est pas possible avec le calendrier musulman ? </s>,1
221 à 206 av. J.-C,1912,question: Quand finit l’ere imperiale chinoise ? </s>,1
deuxième,les Rangers de New York,question: Quelle equipe sort les Devils de la competition ? </s>,1
longue,Rzeczpospolita Polska,question: Comment traduit-on Republique de Pologne en polonais? </s>,1
en minéraux,phosphore,question: De quel composant la couche nepheloide est riche? </s>,1
sa magie,sa magie,question: Par quel moyen la sorciere repousse t-elle Lucifer ? </s>,1
John Connor,Sarah Connor,question: qui est la mere de John connor? </s>,1
peu,de mousquets et que leur petite palis,question: De quoi Alaungpaya aurait il eu besoin pour remporter la bataille ? </s>,1
Giuseppe Meazza,Giuseppe Meazza,question: Quel joueur etait surnomme il Balilla ? </s>,1
17e franchise,Maine,question: De quel coin est l'equipe des Red Claws ? </s>,1
24 novembre,le 24 novembre,question: Quand le Vizzavina est il de retour a Marseille ? </s>,1
des théories évolutives non téléologiques e,des théories évolutives non téléologiques e,question: Qu'est-ce qu'Alain et Christophe ont presente comme idee ? </s>,1
CO2,algue Azolla,question: Quel organisme a cause un refroidissement global ? </s>,1
à la jonction entre le monde méditerranéen,à la jonction entre le monde méditerranéen,question: Ou est situee la civilisation egyptienne ? </s>,1
population locale,hostilité,question: Comment sont accueillis les acadiens deportes dans les treize colonies ? </s>,1
1914,1914,question: Quand Lille a t il remporte son premier titre de champion? </s>,1
admettre en sa présence que le député général,une audience du roi,question: Que souhaitent obtenir les representants des eglises ? </s>,1
Bellatrix Lestrange,Rogue,question: Qui a fourni les informations aidant a sa capture? </s>,1
autonomie,autonomie,question: Quel statut se caracterise par la capacite a de quelqu'un ou quelque chose a se gerer soi-meme ? </s>,1
1997,1997,question: quand demarre la guerre atomique? </s>,1
Jean Stablinski,l'équipe Mercier,question: Quelle equipe rejoint Stablinski suite a son incident avec Anquetil ? </s>,1
cellules très allongées et cloisonnée,"d'un ensemble de filaments, plus ou moins ram",question: De quoi est constitue le mycelium ? </s>,1
"le soleil, la mer et la forêt amazonienne",l'union et le mouvement,question: Quelles sont les metaphores du logo ? </s>,1
Carlo Gesualdo,Carlo Gesualdo,question: De qui Le Caravage et Christopher Marlowe sont-ils contemporains ? </s>,1
"Louis Aragon, Robert Desnos, Paul Éluard","écrivains, poètes, peintres",question: Quels metiers exercent les accolytes surrealistes de Breton ? </s>,1
3e Ordonnance,Une 3e Ordonnance,question: Quel texte confere a la Chambre de Commerce une fonction de surveillance du commerce ? </s>,1
Japon,Au Japon,"question: Dans quel pays, les lettres ABC symbolisent les differentes etapes d'une relation ? </s>",1
Alliés,par les Alliés,question: Par qui fut libere le Strutthof ? </s>,1
de tons de vert et de jaune,de tons de vert et de jaune,question: De quelles couleurs est majoritairement composee la palette vraiment garantie ? </s>,1
Robert Bruce,Robert Bruce,question: Qui abandonne ses combattants ? </s>,1
1-3,six points,question: Combien de points l'equipe du FV Internazionale Milano a-t-elle obtenu contre l'equipe de Turin pendant la saison 2003-2004 ? </s>,1
son prédécesseur,son prédécesseur,question: Qui a designe le gardien de la chapelle de l'Arche d'alliance ? </s>,1
Poutrincourt,de Poutrincourt,question: De qui Charles de Biencourt est-il le fils ? </s>,1
dioxyde de carbone,dioxyde de carbone,question: Quel gaz accentuant la croissance des algues composait autrefois l'atmosphere ? </s>,1
seize heures,environ seize heures,question: Combien de temps les tortues peuvent-elles rester endormies ? </s>,1
tu comme tué pour lui le veau,ne comprend pas l'attitude de son Père,question: Quel est l'etat d'espirt du fils aine envers la situation du retour du fils prodigue ? </s>,1
l'entreprise,l'entreprise,question: A qui s'adresse l'aide directe a l'innovation ? </s>,1
près de la mer,près de la mer,question: Ou se developpe la culture archaique maritime ? </s>,1
le pape,le pape,question: Qui est le dirigeant de l'etat enclave dans la ville de Rome? </s>,1
saupoudré de yoruba et,recherché,question: Quelle est la qualite du vocabulaire anglais de la piece La Mort et l'Ecuyer du roi ? </s>,1
"l'une extérieure, l'autre intérieur",le mur d'enceinte,question: Qu’entoure deux bandes de terres ? </s>,1
Thomas De Gendt,Thomas De Gendt,question: Qui gagne la premiere etape Paris-Nice? </s>,1
28,28,question: Combien de maisons ont ete detruites pour amenager le marche d'echanges de marchandises ? </s>,1
Elton Julian,Genoa Racing,question: Qui est en en-tete dans la categorie FLM ? </s>,1
l'UAZ-469,l'UAZ-469,question: Qu'est ce qui est tres semblable a une jeep classique ? </s>,1
trois décennies,trois décennies,question: Quelle a ete la duree de la periode de paix apres le traite d'Utrecht ? </s>,1
en platine iridié de masse,1875,question: En quelle annee doit etre realise Universite etalon ? </s>,1
statut de Coco Chanel et du mimétisme de son,en partie à cause du statut de Coco Chanel et,question: Qu'est ce qui est a l'origine d'une peau pigmentee par le soleil comme attribut de mode ? </s>,1
rien,ne signifiait rien pour le peuple,question: Quel etait le sens de la ceremonie de couronnement du roi pour ses sujets? </s>,1
circamoerium,circamoerium,question: Quel est un synonyme de pomerium ? </s>,1
l'industrie textile local florissante,"par l'industrie textile local florissante, en particulier",question: Par qui est soutenue le club </s>,1
la palette est partagée entre les applications,les couleurs garanties sur le web trament,question: Quel est le probleme sur les systemes X11 concernant les couleurs garanties ? </s>,1
quarante,quarante espèce rares ou protégées,question: Combien d'especes rares il y a t-il parmi les plantes de la cote des blancs ? </s>,1
mon mari,femme,question: comment etait appele le garcon? </s>,1
l’on gagnait toujours à servir le Ro,2 000 livres,question: Combien Francoise gagnait-elle ? </s>,1
des systèmes experts pour examiner les résultats de divers plans de marketing,des systèmes experts,question: Par quoi les resultats des planifications peuvent-ils etre evalues ? </s>,1
"29,84 jours","29,84 jours",question: Quelle est la duree moyenne entre de nouvelles lunes au solstice d'hiver ? </s>,1
harpe électrique,harpe électrique,question: De quel instrument le musicien joue-t-il ? </s>,1
d'ailleurs d'origine européenne,la Caritas,question: quel est l'institution qui a produit le rapprt sur la population etrangere de rome ? </s>,1
déblayer les obstacles lors de la quête de nourriture,déblayer les obstacles lors de la quête de nourriture,question: A quoi sert la corne du rhinoceros blanc ? </s>,1
3e,Kuro Neko-Adult Black Cat,question: Quel titre a ete en tete du classement quotidien des telechargements de Recochoku ? </s>,1
Raja Pervez Ashraf,Raja Pervez Ashraf,question: Qui etait le second premier ministre de Asif Ali Zardari? </s>,1
densité spectrale de puissance,par la densité spectrale,question: Comment distinguer les types de bruit ? </s>,1
une année complète,une année complète,question: Combien de temps mit Doris Day a soigner sa jambe? </s>,1
ne validera jamais,diplôme qu'elle ne validera jamais,question: Leavitt a-t-elle obtenu un diplome de Harvard ? </s>,1
se surpassa en cette occasion,homme le plus éloquent de son royaume,question: Quelle opinion le roi a-t-il de Du Bosc ? </s>,1
les États-Unis et le Nord par la Chine,États-Unis,question: par qui est soutenue la coree du sud ? </s>,1
à la communauté juive alsacienne autrefo,communauté juive alsacienne,"question: De tradition, la fonction de grand rabbin est attribuee a quelle communaute ? </s>",1
1963,à partir de 1963,question: quand Voix Ouvriere commence a etre diffuser ? </s>,1
océan Indien,dans l'océan Indien,question: Ou se trouve l'ile de la reunion ? </s>,1
États,celui des Zoulous,question: Quelle est la principale entite politique autochtone voisine du domaine colonial britannique? </s>,1
transformer en copropriétés soumises à une,les transformer en copropriétés soumises à,question: Quel sera la consequence de la privatisation par l'Etat anglais des ces cabinets ? </s>,1
sorte d'éther,expliquer les échanges entre ces éléments et,question: Quelle est l'utilite du phlogistique? </s>,1
Ambrosiana,6e du groupe B,question: A quelle place l’Inter a t’elle fini la saison 1929 ? </s>,1
Joe Lder,El Hijo del Fantasma,question: Qui est le premier champion AAA World Cruiserweigth Champion? </s>,1
2 000,2 000,question: Combien de Tziganes ont ete assassines ? </s>,1
3 000,"3 000 prisonniers, 12 canons, 13 drapeaux",question: Quel est le bilan des pertes de l'armee de la Sublime porte lors de son premier affrontement avec les forces de Paskevitch? </s>,1
mur,la bande de terre,question: Que pensent les auteurs latin de la definition de pomerium ? </s>,1
1834,1834,question: Quelle est la date de l’annexion de l’Algerie a la France ? </s>,1
Jordanus Nemorarius,Jordanus Nemorarius,question: Qui a rehabilite la notation de l'inconnue par une valeur unique ? </s>,1
la réussite du projet,remboursable en tout état de cause,question: Est-ce que le pret doit absolument etre rembourse ? </s>,1
gelding,châtrer les chevaux de monte,"question: que signifie ""hongrer""? </s>",1
cactus,"le cactus, Opuntia echi",question: Avec quel vegetal les tortues s'opposent-elles dans leurs mutations ? </s>,1
Howe,1777,question: En quelle annee Washington quitta-t-il Philadelphie ? </s>,1
600 000,600 000,question: Combien de telespectateurs regardent l'emission a la fin du mois de janvier ? </s>,1
il peut s'emballer en sentant,il peut s'emballer en sentant,question: COmment reagit un cheval entier si une jument se trouve a proximite? </s>,1
la même manière des langues et des dialectes très,"l'étonnante unité culturelle, administrative et politique",question: Qu'est ce qui peut etre explique par l'usage d'une ecriture decorrelee de la phonetique ? </s>,1
faire suivre leurs noms du suffixe ACCI,de faire suivre leurs noms du suffixe ACCI,question: Que suggerent les autorites corses aux emigres grecs pour favoriser leur integration a la societe de l'ile </s>,1
"Jeep, Land Rover","Jeep, Land Rover",question: Quels sont les concurrents de l’UAZ ? </s>,1
quatrième,quatrième,question: Quelle est la position de la marine indienne en termes d'effectifs a l'echelle mondiale ? </s>,1
FMI,FMI,question: Quelle institution financiere fait des recommandations a l'Ouganda ? </s>,1
Aliénor d'Aquitaine,Louis VII,question: Quel roi a poursuivi l'unification du royaume initie par Louis VI ? </s>,1
volonté des opérateurs de contourner la corruption de l’,la volonté des opérateurs de contourner la corruption de l,question: Quel facteur explique le developpement de l'economie informelle ? </s>,1
Ruhpolding,à Ruhpolding,question: Ou Florian Schillinger a-t-il realise sa meilleure performance individuelle en coupe du monde ? </s>,1
plus petites et plus sèches,plus petites et plus sèches,question: Quelles sont les caracteristiques geographiques des iles Espanola et Pinta ? </s>,1
Paul Ricur et Pierre Hervé,Paul Ricur et Pierre Hervé,question: Avec qui etudie Pierre-Jakez Helias a Rennes ? </s>,1
coupures publicitaires imposées,coupures publicitaires,question: Quelles interruptions de l'emission lui deplaisent ? </s>,1
En 1613,En 1613,question: Quand Samuel Argall detruit-il deux etablissements et en chasse les habitants ? </s>,1
UNESCO,UNESCO,question: Quelle institution internationale a accorde une reconnaissance a l'art gastronomique francais ? </s>,1
évaluer la rentabilité des produits existants et les,évaluer la rentabilité des produits,question: A quoi servent les modeles informatises ? </s>,1
127 000,27 000,question: Combien de juifs perirent au Strutthof ? </s>,1
le soir des cours par correspondances,jeune,question: Quand Jean Chaitron a-t-il commence a travailler </s>,1
tramage,au tramage,question: De quoi sont premunies les couleurs de la liste ? </s>,1
argent dans l'épreuve par équipe du combiné nordique,l'épreuve par équipe du saut à ski,question: A quelle epreuve de l'Universiade d'hiver de 2009 Florian Schillinger obtient il le bronze ? </s>,1
"du droit, de l'économie, de l'histoire","une solide culture générale, une aisance dans l",question: Quels sont les 3 atouts ? </s>,1
la neuvième journée,dès la neuvième journée,question: A partir de quelle moment du championnat l'equipe du FC Internazionale Milano est elle en tete ? </s>,1
savon,corps humains,question: Quelle la matiere premiere du processus industrielle  de l'infrastructure decouverte par Alexander Werth? </s>,1
passé riche de l'Algérie,les conquêtes du territoire algérien,question: Comment s'est produite l'influence exterieure sur la cuisine algerienne ? </s>,1
évangile,miséricordieux,question: Comment qualifie-t-on une personne qui pardonne facilement et profondement ? </s>,1
il est revenu à la vie ; il était perdu,Après avoir dilapidé sa fortune,question: Quel evenement a conduit le fils prodigue a revenir aupres de son pere ? </s>,1
Angleterre,Angleterre,question: D'ou est arrivee les Butler d'Ormonde ? </s>,1
l'Asie,Afrique est le deuxième continent le plus peuplé après,question: quelle est le continent qui possede le plus grand nombre d'habitant </s>,1
George Steiner,George Steiner,question: Qui est l'auteur de La Mort de la tragedie ? </s>,1
rentabilité des produits existants et les possibilités de,des modèles informatisés,question: A partir de quoi faire une estimation des nouveaux produits ? </s>,1
la dissimule dans une grotte dont il obs,il obstrue l'entrée,question: Que fait Jeremie apres avoir cache l'arche ? </s>,1
Franklin D. Roosevelt et de Nelson Mandela,Franklin D. Roosevelt et de Nelson Mandela,question: Quels hommes politiques ont evoque ce poeme? </s>,1
23 ans,29 min 17 s 45,question: Combien de temps Almaz Ayana a-t-elle pris pour le 10 000m aux JO de 2016 ? </s>,1
se vide peu à peu de son contenu,anneau,question: Que devient la zone centrale du mycelium ? </s>,1
sept buts à zéro,sept buts à zéro,question: Sur quel score le CORT s'impose-t-il face a Montpellier ? </s>,1
"France, l'Allemagne, l'Espagne et","la France, l'Allemagne, l'Espagne e",question: Quels pays sont derriere la Chine en matiere de eseau ferroviaire ? </s>,1
Mercury de Phoenix,Mercury de Phoenix,question: Lors des playoffs en 2010 contre qui s'incline San Antonio ? </s>,1
affinage de la fonte en acier naturel,produit de la fonte,question: A quoi sert un haut fourneau ? </s>,1
Corinne,Corinne,question: Qui a traduit Drax ? </s>,1
grâce à l'image de puissance associée au héros,image de puissance associée au héros et à la parent,question: Pourquoi le culte d'Heracles s'etend en Iran ? </s>,1
l'Algérie et la Tunisie,vers la Corse,question: Vers quelle destination le Vizzavona est il affrete durant le conflit a La Meridionale ? </s>,1
XIIe siècle,XIIe siècle,question: Quand est-ce qu'a ete cree le haut fourneau en Europe ? </s>,1
Otto Mader,Mader,question: Qui dit que l'idee etait seduisante? </s>,1
Nymphadora Tonks,Black,question: Quel est le nom de jeune fille d'Andromeda ? </s>,1
Serge Diaghilev,Serge Diaghilev,question: Qui passe commande a Apollinaire pour realiser une plaquette pour son ballet ? </s>,1
l'arche d'alliance,L'arche d'alliance,question: Qu'est ce qui ne fait pas partie des objets ramenes de Babylone ? </s>,1
le bourgmestre-gouverneur,le bourgmestre-gouverneur,question: Qui est a la tete du gouvernement de Berlin ? </s>,1
Legends du Texas,Legends du Texas,question: Quel est le nom de l'equipe de Frisco ? </s>,1
réformismes de droite,En marche et le profil d'Emmanuel Macron au parti,question: quels sont les deux partis evoques par Christophe Barrret </s>,1
"explosion de vapeur, ruine due à l'u","explosion de vapeur, ruine due à l'u",question: Quel type d incidents peut il se passer? </s>,1
championnat de France,championnat de France,question: Au sein de quel championnat le CORT rencontre-t-il Marseille ? </s>,1
Philippe Mowbray,Édouard Bruce,question: Qui est l'autre membre de la fratrie royale ecossaise en 1313? </s>,1
Bruno Le Maire,Bruno Le Maire,question: Quel ministre est present lors de l'inauguration du Vizzavona ? </s>,1
infrastructure,d'infrastructure,question: Quel est le domaine des projets lances ? </s>,1
par le gouvernement fédéral,le gouvernement fédéral,question: Par qui sont attribues les paiements de perequation ? </s>,1
1890,1890,question: Quand a ete arretee la construction de navires? </s>,1
voie ferrée,Au total environ 200 000 civils et 60 000 prisonnier,question: Quelle etait l'ampleur du projet de Tokyo de relie la capitale birmane a celle de son allie Siam? </s>,1
Université de Lagos,à l'Université de Lagos,question: Ou a eu lieu la representation pour l'anniversaire du dramaturge ? </s>,1
quatrième,quatrième,question: A quelle place l’inter a fini la saison ? </s>,1
maintenir un niveau de conduite performant qui met en contrainte,maintenir un niveau de conduite performant,question: Pourquoi la suspension virtuellement rigode est-elle obligatoire en cours automobile ? </s>,1
Theodor W. Adorno,la sixième symphonie de Tcha,question: Quelle œuvre est similaire a la Symphonie n°9 de Mahler par sa structure ? </s>,1
"choucroute alsacienne, la quiche lor",le beurre et l’échalote,question: Quels sont les bases de la cuisine dans les regions francaises septentrionales? </s>,1
l'Aviation du Reich,1939,question: De quelle annee est il question? </s>,1
le montant de celle-ci,la dette,question: Qu'est-ce qui est a 60 milliards d'euros ? </s>,1
"anémie, le manque d'énergie voire la dé","une peau blanche exprime l'anémie, le",question: Quels sont les signes associes a une peau blanche ? </s>,1
argent,faire des avances à Mia Farrow.,question: Quel a ete une indelicatesse du Maharishi ? </s>,1
Atrium des Amériques,Sanctuaire marial de Notre-Dame de Gua,question: Quel ensemble plus grand inclus la basilique Notre Dame de Guadalupe? </s>,1
Elliott,Elliott,question: Qui est second ? </s>,1
11 octobre 1854,le 11 octobre 1854,question: Quelle est la date de l’inauguration ? </s>,1
71e,une place,question: Combien de places la France a-t-elle gagne par rapport a l'annee precedente selon le Global Competitiveness  Report 2018 ? </s>,1
1564,1593,question: En quelle annee est decede Christopher Marlowe ? </s>,1
17 cm,17 cm,question: comien mesure la bouche droite ? </s>,1
Au salon du cycle à Paris,Au salon du cycle à Paris,question: Ou Stablinski fait il la connaissance des freres Lejeune ? </s>,1
automne,automne,question: A quelle saison les bucherons doivent ils s'isoler de leur famille ? </s>,1
dix,dix blanchissages,question: Combien de blanchissages Brodeur realise t'il en 1997-1998 ? </s>,1
41 victoires,41,question: Combien de matchs a gagne Domunik Hasek? </s>,1
autorités allemandes,Hainaut et d'une partie du Brabant,question: Quel est le perimetre administratif couvert par Paul ? </s>,1
issus des couches les moins aisées,Casciavt,question: Comment sont designes les supporters de l’AC Milan ? </s>,1
François-Joseph Talma,François-Joseph,question: de qui est le ouvrage qui marque le debut des changements au XIXe siecle ? </s>,1
l'Afrique,Afrique,question: qui inspira loccident en matiere de peinture </s>,1
Frantz Fanon,Frantz Fanon,question: Sur qui Yoweri Museveni a fait une these ? </s>,1
après la loi du 26 janvier 1984 sur l’enseignement supérieur,1984,question: Quand l'IEP de Paris est-il devenu un grand etablissement ? </s>,1
général,chef d’état-major général de l'armée,question: qui est Jean de Lattre de Tassigny? </s>,1
guérilla,l’abdication du roi d’,question: Quel est l'evenement catalyseur du soulevement iberique ? </s>,1
Jérôme Fourquet,Jérôme Fourquet,question: Qui a fait des analyses sur les allegeances politiques de LREM ? </s>,1
avec une profusion de détails narratifs,avec une profusion de détails narratifs,"question: Comment Sacks decrit ses "" affaires "" ? </s>",1
techniciens supérieurs,techniciens supérieurs,question: TSEEAC et TSA sont des sigles pour quelle formation ? </s>,1
1896,1896,question: A quelle date est confirmee la conclusion de Clelia ? </s>,1
il lui dit ne pas savoir de quoi il,connerie d'eau bénite,question: Simon dit-il des grossieretes ? </s>,1
Bundesliga,sixième,question: A quel rang finit le club la saison 2005/2006? </s>,1
blanc,blanc,question: De quelle couleur est le marbre ? </s>,1
Toyota,Toyota,question: La marque du noveau motor ? </s>,1
une coudée et demie,une coudée et demie,question: Quelle est la largeur du propitiatoire ? </s>,1
Amérique du Nord,population s'installe dans de petits hameaux familiaux,question: Ou s'installent les acadiens utilisant la technique des aboiteaux ? </s>,1
Jason Arnott,Brodeur,question: qui s'illustre particulierement lors du sixieme match ? </s>,1
diriger leur propre département,participer à l'élaboration des décisions du collège,question: Quel est le role d'un membre du gouvernement ? </s>,1
1999,1999,question: Depuis quand le Vizzavona navigue-t-il ? </s>,1
l'année suivante,1960,question: Quand est-ce que Luis Suarez a ete considere le meilleur footballeur ? </s>,1
Devils,les Devils,question: Quelle equipe termine premiere de la conference est ? </s>,1
Klingenthal,à Klingenthal,question: Ou Florian Schillinger gagne-t-il sa premiere course de Coupe du monde B ? </s>,1
des quartiers d'affaires de la Défense e,des quartiers d'affaires de la Défense e,question: De quels quartiers le CDG Express ne fournira pas de desserte directe ? </s>,1
Bourbon,régnaient,question: Quel est le regime politique en Espagne ? </s>,1
Italie,en Italie,question: Ou Ioannes Stephanopoulos cherche-t-il un lieu d'exil pour les Grecs en premier lieu ? </s>,1
reprendre le bois de Touchelais afin de briser,afin de briser l’encerclement,question: Pour quelle raison les blancs se lancerent-ils dans une action aussi temeraire et risquee? </s>,1
Croix-Rouge américaine,Croix-Rouge américaine,question: Quelle association Clelia Mosher rejoint-t-elle pendant la guerre ? </s>,1
il exprime une joie de créer quelque chose,furieux,question: quelle est la reaction de lucifer quand Sam le met dehors </s>,1
granulatus,dans les forêts anciennes du Nord-ouest,question: ou sont les sporocarpes en amerique du nord </s>,1
court parfois avec lui,PDG de Sonolor,question: Quelle est la fonction d'Andre Bazin ? </s>,1
deux,deux théories,question: Combien d'explications se concurencent ? </s>,1
TS050 Hybrid,la feuille des temps,question: Quel est le nom de la course ? </s>,1
"Albanie, la Macédoine du Nord, la","Albanie, la Macédoine du Nord, la",question: Quels sont les pays limitrophes de la Grece ? </s>,1
Giorgio Hulss,Giorgio Hulss,question: Qui etait president du FC Internazionale Milano en 1920 ? </s>,1
fondés avant 1912,la plupart cessent rapidement d'être imprimés,question: Ces neuf hebdomadaires parviennent-ils a durer? </s>,1
"Paomia, Revinda et Salogna","Les territoires de Paomia, Revinda et",question: Quels territoires Antoine Spinola a-t-il devaste dans son conflit avec le seigneur de Leca ? </s>,1
l'Hudson,le drapeau britannique,question: De quelle banniere s'empare Fleur ? </s>,1
"le manque de vêtements appropriés, la malnutrition, la maladie","le manque de vêtements appropriés, la malnutrition, la maladie",question: Quelles difficultes les soldats de Washington affrontaient-ils lors de leur stationnement a Valley Forge ? </s>,1
pointues,pointues,question: Quelle forme d'oreille le rhinoceros noir a t il ? </s>,1
James Butler,"James Butler, 3e comte d'Ormond",question: Qui etait le 3eme comte? </s>,1
3 millions,dans les années 1930 les ventes de disques étaient inf,question: Combien de disques vendait-on dans les annees 30? </s>,1
Tchang Ka-chek,Tchang Ka-chek,question: Qui est le chef de l'academie militaire de Huangpu ? </s>,1
