prediction,goldlabel,questions,passages_len
Lady Margaret Butler,Anne Boleyn,question: Qui etait la 2eme epouse du roi Henri VIII? </s>,2
Alexandre de Battenberg,Alexandre de Battenberg,question: Qui deteste le tsar? </s>,2
1968,1968,question: Quand les IEP sont-ils devenus des etablissements publics a caractere scientifique et culturel ? </s>,2
lance une politique d'islamisation brutale,lance une politique d'islamisation brutale,question: Que fait Muhammad Zia-ul-Haq ? </s>,1
le consul de France,le consul de France,question: Contre qui le dey d'Alger est il fache ? </s>,2
podium du Grand Prix de Suisse,Le podium du Grand Prix de Suisse,question: Quel a ete le meilleur resultat de Hans Herrmann en 1954 ? </s>,2
Meazza,Meazza,question: Qui a inscrit les buts de la rencontre Inter - Genoa ? </s>,1
13 octobre 1938,13 octobre 1938,question: Quand a lieu l'accident de Doris Day ? </s>,1
10 000,10 000,question: Combien de personnes peuvent etre accueillis a l'interieur de l'edifice principal ? </s>,1
Le scénariste Mathieu Oul,Le scénariste Mathieu Oul,question: Qui remplace yves Le rolland? </s>,1
un laboratoire,un laboratoire,question: Ou se rendent les trois defenseurs des animaux ? </s>,2
fond de l'eau,fond de l'eau,question: Ou se trouve la soeur du chevreau ? </s>,2
La scission s'opère lorsque la formation,La scission s'opère lorsque la formation,question: quand est ce qu'a lieu la scission </s>,1
"gérer des activités à long terme, de prévoir, de","de gérer des activités à long terme, de prévoir,",question: Qu'est-ce qui n'est pas possible avec le calendrier musulman ? </s>,1
1912,1912,question: Quand finit l’ere imperiale chinoise ? </s>,1
éliminer l'équipe de Montréal 4 matchs,les Rangers de New York,question: Quelle equipe sort les Devils de la competition ? </s>,1
Rzeczpospolita Polska,Rzeczpospolita Polska,question: Comment traduit-on Republique de Pologne en polonais? </s>,2
phosphore,phosphore,question: De quel composant la couche nepheloide est riche? </s>,1
sa magie,sa magie,question: Par quel moyen la sorciere repousse t-elle Lucifer ? </s>,1
Sarah Connor,Sarah Connor,question: qui est la mere de John connor? </s>,2
de mousquets et que leur petite palis,de mousquets et que leur petite palis,question: De quoi Alaungpaya aurait il eu besoin pour remporter la bataille ? </s>,1
Giuseppe Meazza,Giuseppe Meazza,question: Quel joueur etait surnomme il Balilla ? </s>,1
Maine,Maine,question: De quel coin est l'equipe des Red Claws ? </s>,2
24 novembre,le 24 novembre,question: Quand le Vizzavina est il de retour a Marseille ? </s>,1
des théories évolutives non téléologiques e,des théories évolutives non téléologiques e,question: Qu'est-ce qu'Alain et Christophe ont presente comme idee ? </s>,1
algue Azolla,algue Azolla,question: Quel organisme a cause un refroidissement global ? </s>,2
à la jonction entre le monde méditerranéen,à la jonction entre le monde méditerranéen,question: Ou est situee la civilisation egyptienne ? </s>,1
hostilité,hostilité,question: Comment sont accueillis les acadiens deportes dans les treize colonies ? </s>,1
1914,1914,question: Quand Lille a t il remporte son premier titre de champion? </s>,2
une audience du roi,une audience du roi,question: Que souhaitent obtenir les representants des eglises ? </s>,1
Rogue,Rogue,question: Qui a fourni les informations aidant a sa capture? </s>,1
autonomie,autonomie,question: Quel statut se caracterise par la capacite a de quelqu'un ou quelque chose a se gerer soi-meme ? </s>,2
1997,1997,question: quand demarre la guerre atomique? </s>,1
équipe Mercier,l'équipe Mercier,question: Quelle equipe rejoint Stablinski suite a son incident avec Anquetil ? </s>,1
"d'un ensemble de filaments, plus ou moins ram","d'un ensemble de filaments, plus ou moins ram",question: De quoi est constitue le mycelium ? </s>,1
l'union et le mouvement,l'union et le mouvement,question: Quelles sont les metaphores du logo ? </s>,1
Carlo Gesualdo,Carlo Gesualdo,question: De qui Le Caravage et Christopher Marlowe sont-ils contemporains ? </s>,2
"écrivains, poètes, peintres","écrivains, poètes, peintres",question: Quels metiers exercent les accolytes surrealistes de Breton ? </s>,1
Une 3e Ordonnance,Une 3e Ordonnance,question: Quel texte confere a la Chambre de Commerce une fonction de surveillance du commerce ? </s>,1
Au Japon,Au Japon,"question: Dans quel pays, les lettres ABC symbolisent les differentes etapes d'une relation ? </s>",1
les Alliés,par les Alliés,question: Par qui fut libere le Strutthof ? </s>,1
de tons de vert et de jaune,de tons de vert et de jaune,question: De quelles couleurs est majoritairement composee la palette vraiment garantie ? </s>,1
Robert Bruce,Robert Bruce,question: Qui abandonne ses combattants ? </s>,1
six,six points,question: Combien de points l'equipe du FV Internazionale Milano a-t-elle obtenu contre l'equipe de Turin pendant la saison 2003-2004 ? </s>,2
son prédécesseur,son prédécesseur,question: Qui a designe le gardien de la chapelle de l'Arche d'alliance ? </s>,1
de Poutrincourt,de Poutrincourt,question: De qui Charles de Biencourt est-il le fils ? </s>,2
dioxyde de carbone,dioxyde de carbone,question: Quel gaz accentuant la croissance des algues composait autrefois l'atmosphere ? </s>,2
environ seize heures,environ seize heures,question: Combien de temps les tortues peuvent-elles rester endormies ? </s>,1
le veau gras,ne comprend pas l'attitude de son Père,question: Quel est l'etat d'espirt du fils aine envers la situation du retour du fils prodigue ? </s>,1
l'entreprise,l'entreprise,question: A qui s'adresse l'aide directe a l'innovation ? </s>,2
près de la mer,près de la mer,question: Ou se developpe la culture archaique maritime ? </s>,1
le pape,le pape,question: Qui est le dirigeant de l'etat enclave dans la ville de Rome? </s>,2
recherché,recherché,question: Quelle est la qualite du vocabulaire anglais de la piece La Mort et l'Ecuyer du roi ? </s>,1
mur d'enceinte,le mur d'enceinte,question: Qu’entoure deux bandes de terres ? </s>,2
Thomas De Gendt,Thomas De Gendt,question: Qui gagne la premiere etape Paris-Nice? </s>,2
28,28,question: Combien de maisons ont ete detruites pour amenager le marche d'echanges de marchandises ? </s>,2
Genoa Racing,Genoa Racing,question: Qui est en en-tete dans la categorie FLM ? </s>,1
UAZ-469,l'UAZ-469,question: Qu'est ce qui est tres semblable a une jeep classique ? </s>,1
trois décennies,trois décennies,question: Quelle a ete la duree de la periode de paix apres le traite d'Utrecht ? </s>,1
1875,1875,question: En quelle annee doit etre realise Universite etalon ? </s>,2
en partie à cause du statut de Coco Chanel et,en partie à cause du statut de Coco Chanel et,question: Qu'est ce qui est a l'origine d'une peau pigmentee par le soleil comme attribut de mode ? </s>,1
ne signifiait rien pour le peuple,ne signifiait rien pour le peuple,question: Quel etait le sens de la ceremonie de couronnement du roi pour ses sujets? </s>,1
circamoerium,circamoerium,question: Quel est un synonyme de pomerium ? </s>,1
l'industrie textile local florissante,"par l'industrie textile local florissante, en particulier",question: Par qui est soutenue le club </s>,1
la palette est partagée entre les applications,les couleurs garanties sur le web trament,question: Quel est le probleme sur les systemes X11 concernant les couleurs garanties ? </s>,1
quarante,quarante espèce rares ou protégées,question: Combien d'especes rares il y a t-il parmi les plantes de la cote des blancs ? </s>,1
femme,femme,question: comment etait appele le garcon? </s>,2
2 000 livres,2 000 livres,question: Combien Francoise gagnait-elle ? </s>,1
des systèmes experts,des systèmes experts,question: Par quoi les resultats des planifications peuvent-ils etre evalues ? </s>,1
"29,84 jours","29,84 jours",question: Quelle est la duree moyenne entre de nouvelles lunes au solstice d'hiver ? </s>,1
harpe électrique,harpe électrique,question: De quel instrument le musicien joue-t-il ? </s>,1
la Caritas,la Caritas,question: quel est l'institution qui a produit le rapprt sur la population etrangere de rome ? </s>,1
déblayer les obstacles lors de la quête de nourriture,déblayer les obstacles lors de la quête de nourriture,question: A quoi sert la corne du rhinoceros blanc ? </s>,1
Kuro Neko-Adult Black Cat,Kuro Neko-Adult Black Cat,question: Quel titre a ete en tete du classement quotidien des telechargements de Recochoku ? </s>,2
Raja Pervez Ashraf,Raja Pervez Ashraf,question: Qui etait le second premier ministre de Asif Ali Zardari? </s>,2
par la densité spectrale,par la densité spectrale,question: Comment distinguer les types de bruit ? </s>,1
une année complète,une année complète,question: Combien de temps mit Doris Day a soigner sa jambe? </s>,1
diplôme qu'elle ne validera jamais,diplôme qu'elle ne validera jamais,question: Leavitt a-t-elle obtenu un diplome de Harvard ? </s>,1
le député général,homme le plus éloquent de son royaume,question: Quelle opinion le roi a-t-il de Du Bosc ? </s>,1
États-Unis,États-Unis,question: par qui est soutenue la coree du sud ? </s>,1
communauté juive alsacienne,communauté juive alsacienne,"question: De tradition, la fonction de grand rabbin est attribuee a quelle communaute ? </s>",1
1963,à partir de 1963,question: quand Voix Ouvriere commence a etre diffuser ? </s>,1
dans l'océan Indien,dans l'océan Indien,question: Ou se trouve l'ile de la reunion ? </s>,1
Zoulous,celui des Zoulous,question: Quelle est la principale entite politique autochtone voisine du domaine colonial britannique? </s>,1
les transformer en copropriétés soumises à,les transformer en copropriétés soumises à,question: Quel sera la consequence de la privatisation par l'Etat anglais des ces cabinets ? </s>,1
expliquer les échanges entre ces éléments et,expliquer les échanges entre ces éléments et,question: Quelle est l'utilite du phlogistique? </s>,1
6e,6e du groupe B,question: A quelle place l’Inter a t’elle fini la saison 1929 ? </s>,1
El Hijo del Fantasma,El Hijo del Fantasma,question: Qui est le premier champion AAA World Cruiserweigth Champion? </s>,2
2 000,2 000,question: Combien de Tziganes ont ete assassines ? </s>,1
"3 000 prisonniers, 12 canons, 13 drapeaux","3 000 prisonniers, 12 canons, 13 drapeaux",question: Quel est le bilan des pertes de l'armee de la Sublime porte lors de son premier affrontement avec les forces de Paskevitch? </s>,1
une limite,la bande de terre,question: Que pensent les auteurs latin de la definition de pomerium ? </s>,1
1834,1834,question: Quelle est la date de l’annexion de l’Algerie a la France ? </s>,2
Jordanus Nemorarius,Jordanus Nemorarius,question: Qui a rehabilite la notation de l'inconnue par une valeur unique ? </s>,2
remboursable en tout état de cause,remboursable en tout état de cause,question: Est-ce que le pret doit absolument etre rembourse ? </s>,1
à l'origine,châtrer les chevaux de monte,"question: que signifie ""hongrer""? </s>",1
"le cactus, Opuntia echi","le cactus, Opuntia echi",question: Avec quel vegetal les tortues s'opposent-elles dans leurs mutations ? </s>,1
1777,1777,question: En quelle annee Washington quitta-t-il Philadelphie ? </s>,2
600 000,600 000,question: Combien de telespectateurs regardent l'emission a la fin du mois de janvier ? </s>,1
il peut s'emballer en sentant,il peut s'emballer en sentant,question: COmment reagit un cheval entier si une jument se trouve a proximite? </s>,1
"l'étonnante unité culturelle, administrative et politique","l'étonnante unité culturelle, administrative et politique",question: Qu'est ce qui peut etre explique par l'usage d'une ecriture decorrelee de la phonetique ? </s>,1
de faire suivre leurs noms du suffixe ACCI,de faire suivre leurs noms du suffixe ACCI,question: Que suggerent les autorites corses aux emigres grecs pour favoriser leur integration a la societe de l'ile </s>,2
"Jeep, Land Rover","Jeep, Land Rover",question: Quels sont les concurrents de l’UAZ ? </s>,1
quatrième,quatrième,question: Quelle est la position de la marine indienne en termes d'effectifs a l'echelle mondiale ? </s>,1
FMI,FMI,question: Quelle institution financiere fait des recommandations a l'Ouganda ? </s>,2
Louis VII,Louis VII,question: Quel roi a poursuivi l'unification du royaume initie par Louis VI ? </s>,2
la volonté des opérateurs de contourner la corruption de l,la volonté des opérateurs de contourner la corruption de l,question: Quel facteur explique le developpement de l'economie informelle ? </s>,1
Ruhpolding,à Ruhpolding,question: Ou Florian Schillinger a-t-il realise sa meilleure performance individuelle en coupe du monde ? </s>,1
Les îles plus petites et plus sèches,plus petites et plus sèches,question: Quelles sont les caracteristiques geographiques des iles Espanola et Pinta ? </s>,1
Paul Ricur et Pierre Hervé,Paul Ricur et Pierre Hervé,question: Avec qui etudie Pierre-Jakez Helias a Rennes ? </s>,1
coupures publicitaires,coupures publicitaires,question: Quelles interruptions de l'emission lui deplaisent ? </s>,1
En 1613,En 1613,question: Quand Samuel Argall detruit-il deux etablissements et en chasse les habitants ? </s>,2
UNESCO,UNESCO,question: Quelle institution internationale a accorde une reconnaissance a l'art gastronomique francais ? </s>,2
évaluer la rentabilité des produits,évaluer la rentabilité des produits,question: A quoi servent les modeles informatises ? </s>,1
27 000,27 000,question: Combien de juifs perirent au Strutthof ? </s>,1
jeune,jeune,question: Quand Jean Chaitron a-t-il commence a travailler </s>,2
au tramage,au tramage,question: De quoi sont premunies les couleurs de la liste ? </s>,1
l'épreuve par équipe du saut à ski,l'épreuve par équipe du saut à ski,question: A quelle epreuve de l'Universiade d'hiver de 2009 Florian Schillinger obtient il le bronze ? </s>,1
"donner aux étudiants une solide culture générale, une aisance","une solide culture générale, une aisance dans l",question: Quels sont les 3 atouts ? </s>,1
dès la neuvième journée,dès la neuvième journée,question: A partir de quelle moment du championnat l'equipe du FC Internazionale Milano est elle en tete ? </s>,1
corps humains,corps humains,question: Quelle la matiere premiere du processus industrielle  de l'infrastructure decouverte par Alexander Werth? </s>,2
les conquêtes du territoire algérien,les conquêtes du territoire algérien,question: Comment s'est produite l'influence exterieure sur la cuisine algerienne ? </s>,1
miséricordieux,miséricordieux,question: Comment qualifie-t-on une personne qui pardonne facilement et profondement ? </s>,1
Après avoir dilapidé sa fortune,Après avoir dilapidé sa fortune,question: Quel evenement a conduit le fils prodigue a revenir aupres de son pere ? </s>,1
Angleterre,Angleterre,question: D'ou est arrivee les Butler d'Ormonde ? </s>,2
Afrique est le deuxième continent le plus peuplé,Afrique est le deuxième continent le plus peuplé après,question: quelle est le continent qui possede le plus grand nombre d'habitant </s>,1
George Steiner,George Steiner,question: Qui est l'auteur de La Mort de la tragedie ? </s>,1
des modèles informatisés,des modèles informatisés,question: A partir de quoi faire une estimation des nouveaux produits ? </s>,1
obstrue l'entrée,il obstrue l'entrée,question: Que fait Jeremie apres avoir cache l'arche ? </s>,1
Franklin D. Roosevelt et de Nelson Mandela,Franklin D. Roosevelt et de Nelson Mandela,question: Quels hommes politiques ont evoque ce poeme? </s>,1
29 min 17 s 45,29 min 17 s 45,question: Combien de temps Almaz Ayana a-t-elle pris pour le 10 000m aux JO de 2016 ? </s>,2
anneau,anneau,question: Que devient la zone centrale du mycelium ? </s>,2
sept buts à zéro,sept buts à zéro,question: Sur quel score le CORT s'impose-t-il face a Montpellier ? </s>,1
"la France, l'Allemagne, l'Espagne e","la France, l'Allemagne, l'Espagne e",question: Quels pays sont derriere la Chine en matiere de eseau ferroviaire ? </s>,1
Mercury de Phoenix,Mercury de Phoenix,question: Lors des playoffs en 2010 contre qui s'incline San Antonio ? </s>,2
produit de la fonte,produit de la fonte,question: A quoi sert un haut fourneau ? </s>,2
Corinne,Corinne,question: Qui a traduit Drax ? </s>,2
image de puissance associée au héros et à la parent,image de puissance associée au héros et à la parent,question: Pourquoi le culte d'Heracles s'etend en Iran ? </s>,1
vers le Maghreb,vers la Corse,question: Vers quelle destination le Vizzavona est il affrete durant le conflit a La Meridionale ? </s>,2
XIIe siècle,XIIe siècle,question: Quand est-ce qu'a ete cree le haut fourneau en Europe ? </s>,1
Otto Mader,Mader,question: Qui dit que l'idee etait seduisante? </s>,1
Black,Black,question: Quel est le nom de jeune fille d'Andromeda ? </s>,1
Serge Diaghilev,Serge Diaghilev,question: Qui passe commande a Apollinaire pour realiser une plaquette pour son ballet ? </s>,2
L'arche d'alliance,L'arche d'alliance,question: Qu'est ce qui ne fait pas partie des objets ramenes de Babylone ? </s>,1
le bourgmestre-gouverneur,le bourgmestre-gouverneur,question: Qui est a la tete du gouvernement de Berlin ? </s>,2
Legends du Texas,Legends du Texas,question: Quel est le nom de l'equipe de Frisco ? </s>,2
En marche et le profil d'Emmanuel Macron au parti,En marche et le profil d'Emmanuel Macron au parti,question: quels sont les deux partis evoques par Christophe Barrret </s>,1
"explosion de vapeur, ruine due à l'u","explosion de vapeur, ruine due à l'u",question: Quel type d incidents peut il se passer? </s>,1
championnat de France,championnat de France,question: Au sein de quel championnat le CORT rencontre-t-il Marseille ? </s>,2
Édouard Bruce,Édouard Bruce,question: Qui est l'autre membre de la fratrie royale ecossaise en 1313? </s>,1
Bruno Le Maire,Bruno Le Maire,question: Quel ministre est present lors de l'inauguration du Vizzavona ? </s>,2
infrastructure,d'infrastructure,question: Quel est le domaine des projets lances ? </s>,1
le gouvernement fédéral,le gouvernement fédéral,question: Par qui sont attribues les paiements de perequation ? </s>,1
1890,1890,question: Quand a ete arretee la construction de navires? </s>,2
plusieurs dizaines de camps de prisonniers,Au total environ 200 000 civils et 60 000 prisonnier,question: Quelle etait l'ampleur du projet de Tokyo de relie la capitale birmane a celle de son allie Siam? </s>,1
à l'Université de Lagos,à l'Université de Lagos,question: Ou a eu lieu la representation pour l'anniversaire du dramaturge ? </s>,1
quatrième,quatrième,question: A quelle place l’inter a fini la saison ? </s>,1
maintenir un niveau de conduite performant,maintenir un niveau de conduite performant,question: Pourquoi la suspension virtuellement rigode est-elle obligatoire en cours automobile ? </s>,1
la sixième symphonie de Tcha,la sixième symphonie de Tcha,question: Quelle œuvre est similaire a la Symphonie n°9 de Mahler par sa structure ? </s>,1
le beurre et l’échalote,le beurre et l’échalote,question: Quels sont les bases de la cuisine dans les regions francaises septentrionales? </s>,1
1939,1939,question: De quelle annee est il question? </s>,1
la dette,la dette,question: Qu'est-ce qui est a 60 milliards d'euros ? </s>,2
"l'anémie, le manque d'énergie","une peau blanche exprime l'anémie, le",question: Quels sont les signes associes a une peau blanche ? </s>,1
faire des avances à Mia Farrow,faire des avances à Mia Farrow.,question: Quel a ete une indelicatesse du Maharishi ? </s>,1
Sanctuaire marial,Sanctuaire marial de Notre-Dame de Gua,question: Quel ensemble plus grand inclus la basilique Notre Dame de Guadalupe? </s>,2
Elliott,Elliott,question: Qui est second ? </s>,2
11 octobre 1854,le 11 octobre 1854,question: Quelle est la date de l’inauguration ? </s>,1
une place,une place,question: Combien de places la France a-t-elle gagne par rapport a l'annee precedente selon le Global Competitiveness  Report 2018 ? </s>,2
1593,1593,question: En quelle annee est decede Christopher Marlowe ? </s>,2
17 cm,17 cm,question: comien mesure la bouche droite ? </s>,1
Au salon du cycle à Paris,Au salon du cycle à Paris,question: Ou Stablinski fait il la connaissance des freres Lejeune ? </s>,1
automne,automne,question: A quelle saison les bucherons doivent ils s'isoler de leur famille ? </s>,1
dix blanchissages,dix blanchissages,question: Combien de blanchissages Brodeur realise t'il en 1997-1998 ? </s>,1
41,41,question: Combien de matchs a gagne Domunik Hasek? </s>,1
Hainaut et d'une partie du Brabant,Hainaut et d'une partie du Brabant,question: Quel est le perimetre administratif couvert par Paul ? </s>,1
Casciavt,Casciavt,question: Comment sont designes les supporters de l’AC Milan ? </s>,1
François-Joseph,François-Joseph,question: de qui est le ouvrage qui marque le debut des changements au XIXe siecle ? </s>,1
Afrique,Afrique,question: qui inspira loccident en matiere de peinture </s>,2
Frantz Fanon,Frantz Fanon,question: Sur qui Yoweri Museveni a fait une these ? </s>,1
1984,1984,question: Quand l'IEP de Paris est-il devenu un grand etablissement ? </s>,2
chef d’état-major général de l'armée,chef d’état-major général de l'armée,question: qui est Jean de Lattre de Tassigny? </s>,1
l’abdication du roi d’,l’abdication du roi d’,question: Quel est l'evenement catalyseur du soulevement iberique ? </s>,1
Jérôme Fourquet,Jérôme Fourquet,question: Qui a fait des analyses sur les allegeances politiques de LREM ? </s>,1
avec une profusion de détails narratifs,avec une profusion de détails narratifs,"question: Comment Sacks decrit ses "" affaires "" ? </s>",1
techniciens supérieurs,techniciens supérieurs,question: TSEEAC et TSA sont des sigles pour quelle formation ? </s>,1
1896,1896,question: A quelle date est confirmee la conclusion de Clelia ? </s>,1
connerie d'eau bénite,connerie d'eau bénite,question: Simon dit-il des grossieretes ? </s>,1
sixième,sixième,question: A quel rang finit le club la saison 2005/2006? </s>,1
blanc,blanc,question: De quelle couleur est le marbre ? </s>,2
Toyota,Toyota,question: La marque du noveau motor ? </s>,2
une coudée et demie,une coudée et demie,question: Quelle est la largeur du propitiatoire ? </s>,1
dans de petits hameaux familiaux,population s'installe dans de petits hameaux familiaux,question: Ou s'installent les acadiens utilisant la technique des aboiteaux ? </s>,1
Jason Arnott et Petr Skora,Brodeur,question: qui s'illustre particulierement lors du sixieme match ? </s>,1
participer à l'élaboration des décisions du collège,participer à l'élaboration des décisions du collège,question: Quel est le role d'un membre du gouvernement ? </s>,1
1999,1999,question: Depuis quand le Vizzavona navigue-t-il ? </s>,1
1960,1960,question: Quand est-ce que Luis Suarez a ete considere le meilleur footballeur ? </s>,2
gardien de but,les Devils,question: Quelle equipe termine premiere de la conference est ? </s>,1
à Klingenthal,à Klingenthal,question: Ou Florian Schillinger gagne-t-il sa premiere course de Coupe du monde B ? </s>,1
quartiers d'affaires de la Défense et,des quartiers d'affaires de la Défense e,question: De quels quartiers le CDG Express ne fournira pas de desserte directe ? </s>,1
régnaient,régnaient,question: Quel est le regime politique en Espagne ? </s>,1
en Italie,en Italie,question: Ou Ioannes Stephanopoulos cherche-t-il un lieu d'exil pour les Grecs en premier lieu ? </s>,2
afin de briser l’encerclement,afin de briser l’encerclement,question: Pour quelle raison les blancs se lancerent-ils dans une action aussi temeraire et risquee? </s>,1
Croix-Rouge américaine,Croix-Rouge américaine,question: Quelle association Clelia Mosher rejoint-t-elle pendant la guerre ? </s>,1
furieux,furieux,question: quelle est la reaction de lucifer quand Sam le met dehors </s>,2
dans les forêts anciennes du Nord-ouest,dans les forêts anciennes du Nord-ouest,question: ou sont les sporocarpes en amerique du nord </s>,1
PDG de Sonolor,PDG de Sonolor,question: Quelle est la fonction d'Andre Bazin ? </s>,1
deux théories,deux théories,question: Combien d'explications se concurencent ? </s>,1
la feuille des temps,la feuille des temps,question: Quel est le nom de la course ? </s>,1
"Albanie, la Macédoine du Nord, la","Albanie, la Macédoine du Nord, la",question: Quels sont les pays limitrophes de la Grece ? </s>,1
Giorgio Hulss,Giorgio Hulss,question: Qui etait president du FC Internazionale Milano en 1920 ? </s>,1
la plupart cessent rapidement d'être imprimés,la plupart cessent rapidement d'être imprimés,question: Ces neuf hebdomadaires parviennent-ils a durer? </s>,1
"Les territoires de Paomia, Revinda et","Les territoires de Paomia, Revinda et",question: Quels territoires Antoine Spinola a-t-il devaste dans son conflit avec le seigneur de Leca ? </s>,1
le drapeau britannique,le drapeau britannique,question: De quelle banniere s'empare Fleur ? </s>,1
"le manque de vêtements appropriés, la malnutrition, la maladie","le manque de vêtements appropriés, la malnutrition, la maladie",question: Quelles difficultes les soldats de Washington affrontaient-ils lors de leur stationnement a Valley Forge ? </s>,1
pointues,pointues,question: Quelle forme d'oreille le rhinoceros noir a t il ? </s>,2
"James Butler, 3e comte d'Ormond","James Butler, 3e comte d'Ormond",question: Qui etait le 3eme comte? </s>,1
infimes,dans les années 1930 les ventes de disques étaient inf,question: Combien de disques vendait-on dans les annees 30? </s>,1
Tchang Ka-chek,Tchang Ka-chek,question: Qui est le chef de l'academie militaire de Huangpu ? </s>,1
