prediction,goldlabel,questions,passages_len
les déclarations de Condoleezza Rice et de Donald,les néo-conservateurs,question: Quel courant de pensée a justifié l’intervention américaine en Irak? </s>,1
William Ernest Henley,William Ernest Henley,question: Qui a écrit le poème Invictus? </s>,1
pour adultere,action en justice pour adultère,question: quelle action en justice pouvait intenter l'époux trompé? </s>,1
Moyen Age,la fin de l'Antiquité et,question: Quand est-ce qu'on préfère la division onciale ? </s>,1
Namsos,Norvège,question: Vers quelle destination le Vizzavona transporte-t-il les troupes françaises ? </s>,1
Haut Moyen Age,abandonné durant tout le Haut Moyen ge,question: Les labyrinthes chrétiens étaient ils populaires au moyen âge ? </s>,1
Charles Pravaz,médecin orthopédiste lyonnais Charles Pravaz,question: Qui a inventé la seringue à aiguille creuse ? </s>,1
l'UCI,UCI,question: De quel organisme dépend la commission des licences? </s>,1
Khayr ad-Din,Khayr ad-Din,question: Qui est le frère d’Arudj Barberousse ? </s>,1
1946,1958,question: le conseil constitutionnel voit le jour en quelle année? </s>,1
Second Empire,Sous le Second Empire,question: Sous quel empire le fonctionnement de l'armée reposait sur la conscription? </s>,1
plus de la moitie de l'électricitéite,Elle fournit plus de la moitié,question: Quelle part représente l'énergie hydraulique dans le pays ? </s>,1
Thraces,Illyriens,question: Qui vivait dans le bassin du moyen-Danube avant 350 av. J.-C.? </s>,1
comte de Rochambeau,de France,question: D'où venait l'aide envoyée à Rochambeau ? </s>,1
1949,en 1949,question: quand a lieu la scission entre le groupe de Bois et le groupe de Korner ? </s>,1
parlementaires,République,question: Quelle est la forme institutionnelle de l'Afrique du Sud ? </s>,1
Shas,le Shas,question: quel est le nouveau parti politique d'extrême droite en 1984 ? </s>,1
La mort de Razilly,les limites de leur territoires respectifs,question: Sur quoi porte la dispute entre de Menou d'Aulnay de Charnizay et de Saint-Etienne de la Tour ? </s>,1
"Milan AC, la Juventus et la Lazio de Rome","le Milan AC, la Juventus et la Lazio de",question: Quels clubs sont reconnus coupables à la suite de l'affaire des matchs truqués du calcio ? </s>,1
centre d'art ou du catalogue,France,question: Où est née la forme de livre d'art ? </s>,1
Allemagne,l'Allemagne,question: Quel pays gouverne la baie d'Angra Pequena ? </s>,1
778,La Navarre s'étendait à cette,question: Quelle était la superficie de la Navarre lorsqu'elle fut vaincue par Charlemagne ? </s>,1
Rome,Rome,question: Avec quelle ville Paris est-elle jumelée? </s>,1
Ouest Cameroun,La musique,question: Ou trouve t il du réconfort? </s>,1
mille,environ mille,question: Combien d'emplois de pêche sont créés à Louisbourg ? </s>,1
RC France,RC France,question: Quelle équipe a été battue en finale par le Standard AC lors de la Coupe Dewar 1904 ? </s>,1
legumes et cereales,céréales,question: À quels produits l'algérie doit-elle le surnom de grenier de Rome ? </s>,1
article 36,article 36,question: Quel article constitutionnel suisse permet de créer le réseau routier ? </s>,1
Mademoiselle Krauss,Mademoiselle Krauss,question: qui chante l'oeuvre de schumann? </s>,1
creme solaire,Il est aussi intéressant de voir le changement de comportement des Européen,question: Les Européens ont-ils toujours réagi de la même façon pour se protéger du soleil dans les zones tropicales ? </s>,1
"14,3 %","le PNB chuta de 14,3 %",question: De combien chuta le PNB chilien en 1982 ? </s>,1
De petits morceaux de roseau,De petits morceaux de roseau,question: qu'est-ce qui est glissé entre les peaux ? </s>,1
compose,c,question: qu'est-ce qu'un mot en chinois? </s>,1
inventaire specifiques et d’effectuer un,savoir si l’espèce a survécu dans ces cours,question: Quel est l'un des objectifs des travaux sur les lamproies ? </s>,1
la police de la ville et de la région,palais,question: Quels bâtiments rappellent l'époque impériale à Moscou ? </s>,1
technique,médecine,question: dans quel domaine scientifique peut-on rencontrer les mots blessures et pathologies </s>,1
700 Ma,Rodrigues est plus âgée que Maurice,question: Est-ce que Rodrigues est plus âgé que Maurice ? </s>,1
Tung,Tung,question: Quelle est le nom du dirigeant en charge des réformes d’infrastructures à Hong-Kong ? </s>,1
1938,1969,question: En quelle année est publié le dernier roman de la tétralogie d’Albert Cohen ? </s>,1
Loi salique,Loi salique,question: Au nom de quelle loi les filles de Philippe V sont-elles  écartées de la ligne de succession ? </s>,1
1974,1974,question: A quelle date est ressortie l'enquête sur la sexualité des Américaines ? </s>,1
l'Amerique du Nord,Amérique,question: Quel continent est appelé Nouveau Monde ? </s>,1
2003-2004,2003-2004,question: Quelle période fiscale était concernée par les soupçons de falsification ? </s>,1
1557,vers 1557,"question: Quand ""le Miroir des pays"" a t-il été écrit ? </s>",1
accord de volonte entre deux ou plusieurs personnes,accord de volonté entre deux ou plusieurs personnes,question: qu'est ce que sont des actes contractuels ? </s>,1
les palettes font correspondre un octet,graphique,question: Quelle est la particularité des logiciels qui utilisent les couleurs ? </s>,1
Apollon,Apollon,question: Qui a puni Agamemnon ? </s>,1
"des heures, voire des jours","des heures, voire des jours",question: Combien de temps peut prendre un calcul pour la 3D précalculée ? </s>,1
Ferdinand de Saxe-Cobourg-Kohary,Ferdinand,question: Qui est proclamé prince de Bulgarie ? </s>,1
enchaines a un cheval de frise de,enchaînés à un cheval de frise,question: Jean pierre Lanvin fait quoi ? </s>,1
Edward Allan Poe,Edgar Allan Poe,question: Qui a écrit Le Corbeau ? </s>,1
Bengale,Calcutta,question: Quelle ville à vue la naissance du football en Inde ? </s>,1
huit zones d'etudes et,huit,question: Combien de Z.E.A.T. l'Insee définit-elle en 1967 ? </s>,1
"leur histoire, leur dispersion et leurs retrouv","leur histoire, leur dispersion et leurs retrouv",question: Qu'est ce que le couple d'Evangeline et Gabriel représente-t-il pour les acadiens ? </s>,1
Kaya,Luffy,question: qui va vaincre kuro? </s>,1
XVIIIe,XIXe siècle,question: Dans quel siécle ? </s>,1
Sang-Purs,"12, square Grimmaurd",question: Ou est logé l'ordre du phénix à Londres? </s>,1
ouvriers,ouvriers,question: qui sont les Cols Bleus </s>,1
Chicago,Chicago,question: Dans quelle ville jouent les Blackhawks ? </s>,1
entre 0 et 3,"Les intensités dans le bas de la gamme, particulièrement entre",question: Quelles sont les intensités qui se mélanges  sur les écrans incompatibles au sRGB ? </s>,1
kokpar,Karabar,question: Comment s'appelle le cheval élevé en Ouzbékistan pour sa viande et son lait ? </s>,1
dans les premiers jeux de la série développépes par Core Design,2013,question: quand la biographie de lara croft a t elle été changée ? </s>,1
Johns-Hopkins,Johns-Hopkins,question: où peirce donnait-il des conférences de philo? </s>,1
redonner tout son eclat au centre historique,afin de redonner tout son éclat au centre historique,question: Pour quelle raison a été décidée la réhabilation de l'architecture pré-communiste ? </s>,1
Pteridospermatophytes,Spermatophytes,question: A quel groupe appartiennent les angiospermes ? </s>,1
1571,1571,question: En quelle année est né Le Caravage ? </s>,1
"une reforme du parlement irlandais, l'","un groupe de protestants libéraux, anglicans e",question: Qu'a réussi à obtenir la Société des Irlandais unis ? </s>,1
Qiu Chuji,Quanzhen,question: qui dirigeait les religions du nord de la chine sous la domination mongole? </s>,1
l'association des Ultra Boys 90,en 1990,question: quand est ce que le mouvement Ultra Boys 90 a été créé ? </s>,1
Chris Evans,Chris Evans,question: Qui est l'acteur principal de Captain America: First Avenger ? </s>,1
la communaute juive alsacienne autrefo,communauté juive alsacienne,"question: De tradition, la fonction de grand rabbin est attribuée à quelle communauté ? </s>",1
pour maintenir l'orientation de la sonde,pour maintenir l'orientation de la sonde,question: Poourquoi les ingénieurs de Mariner 10 ont décidé d'utiliser la pression des protons sur les panneaux solaires  ? </s>,1
115 points,11,question: Quelle est la valeur maximale pour la proportion d'iridium ? </s>,1
Constitution federale de 1848,Conseil fédéral,question: Quel nom porte la principale instance du pouvoir exécutif de la confédération Helvétique? </s>,1
Nick Heidfeld,Neel Jani,question: Qui est le coéquipier de Nicolas Prost ? </s>,1
36,36,question: Combien de chromosomes possède un sanglier ? </s>,1
1-3,six points,question: Combien de points l'équipe du FV Internazionale Milano a-t-elle obtenu contre l'équipe de Turin pendant la saison 2003-2004 ? </s>,1
Jocelyn Bell et Antony Hewish,Jocelyn Bell,question: Qui a fait la première description des pulsars ? </s>,1
Republique cisalpine,Italie,question: quel est le nom court pour République italienne? </s>,1
Rustem Pacha,le grand vizir Rüstem Pacha,question: Qui nomme Seydi Ali Reis commandant de la flotte de l'océan Indien en 1560 ? </s>,1
prix,deux,question: Combien de prix remporte  t il </s>,1
justifiee par le Djihad,car justifiée par le Djihad,question: Pourquoi la deuxième phase de l'islamisation de l’Afrique est elle plus violente? </s>,1
"de la fin du Pleistocene superieur,",Espagne,question: Où a été trouvé le plus récent fossile d'angiosperme ? </s>,1
l'annee suivante,1930,question: Quand Jean Chaintron rejoint-il le SRI? </s>,1
Mary Ann Foss,Mary Ann Foss,question: Avec qui Edward Dickinson Baker a-t-il eu cinq enfants </s>,1
permettent aux etrangers de posseder le,attirer les investisseurs,question: A quoi servent les lois de 1884 et 1896 ? </s>,1
1812,1812,question: En quelle année l'institution  ferme ses portes </s>,1
1616,1616,question: En quelle année Quebec devint le premier établissement permanent des Indes occidentales françaises? </s>,1
DragonSpeed,LMP2,question: Dans quelle catégorie de voitures concourt l'Oreca 07 n°26 ? </s>,1
cholera,choléra,question: Quelle maladie Lasègue a-t-il étudié en Russie ? </s>,1
1769,1769,question: quand la corse a-t-elle été rattachée à la france? </s>,1
il ouvre la porte de la chambre et a,morte,question: Comment se porte la femme de Nick ? </s>,1
sherif,La foule,question: Qui a tué les 44 prisonniers ? </s>,1
"produits petroliers, gaz naturel ou combustible nucle",85 %,question: Quels types d'énergie sont importés ? </s>,1
des mois lunaires,le calendrier musulman,question: Qu'est-ce qui s'appuie sur l'observation humaine de la lune ? </s>,1
latin et surtout le francais,le latin et surtout le français,question: De quelle langues romanes l'anglais a-t-il subi l'influence ? </s>,1
Marie Ducasse,Roi,question: Qui est le beau-frère d'Henriette ? </s>,1
deuxieme,dix-huit,question: Combien de fédération du Crédit mutuel représente le deuxième degré de son organisation? </s>,1
Mir'at Ul' Memalik,Mir'at Ül' Memalik,"question: Comment traduire ""le Miroir des pays"" en turc ? </s>",1
decrit le rôle de ses collegues historiens,"Détruire les histoires fausses, démonter",question: Quelle est la mission des historiens selon le chercheur Olivier Dumoulin? </s>,1
depuis aout 2016,depuis août 2016,question: Depuis quand Olivier meslay est-il directeur du Clark art Institute ? </s>,1
en tour principal,Miami,question: Où Gisela Dulko dispute son premier match professionnel ? </s>,1
overdue glaciation,accumulation de gaz à effet de serre dès les débuts,question: Que dit Ruddiman ? </s>,1
Sept Ans,engagés qu'ils étaient dans leur propre guerre de Sept An,"question: Pendant la colonie anglaise en Birmanie, les Anglais étaient déjà en guerre? </s>",1
Des centaines de milliers,Femmes de réconfort,"question: En plus de soldats enrôlés de forces, combien d'autres victimes  furent concernées par la politique d'esclavage sexuelle pratiquée par Tokyo au profit de ses troupes? </s>",1
particulierement sec et salubre,L’air y est particulièrement sec et salu,question: Comment l'air est dans le Nil ? </s>,1
extremes sont de rigueur,"Dans le désert, les températures extrêmes sont de",question: Comment sont les températures dans le desert du nil ? </s>,1
aucune,aucune,question: Quelle dose d'OGM peut avoir des conséquences mortelles ? </s>,1
par un rapport particulier au reel,l'observation et l'expérience n,question: En quoi les mathématiques se distinguent des autres sciences ? </s>,1
A Hastinapura,un tunnel d'évacuation,question: Par où les Pandava échappent-ils à l’incendie ? </s>,1
Otto Finsch,Bismarck,question: Qui gouvernait l'Allemagne lorsqu'elle établit un protectorat au Cameroun ? </s>,1
2015 a 2025,2015 à 2025,question: Quelle est la période où on devrait observer une diminution de la montée océanique ? </s>,1
les facons de penser des peuples indigenes,façons de penser des peuples indigènes de l,question: Quelles sont les sujets de l'art des cultures indigènes ? </s>,1
James Gardiner,James Gardiner,question: Qui dirigeait les Bruins lors de la saison 1924-1925 ? </s>,1
vingtieme,quatre,question: Combien d'équipes  ont gagné la Super League depuis 1996 ? </s>,1
Italie,sur la côte occidentale de l'île de Corse,question: Où les autorités gênoises proposent elle à Ioannès Stephanopoulos d'installer la colonie grecque ? </s>,1
donner a la peau une coloration orangee,ils avaient souvent pour effet de donner à la peau une,question: Quels étaient les effets des premiers produits solaires ? </s>,1
Seconde Guerre mondiale,Union européenne,question: Quel est le nom de l'organisation politique qui représente une partie des états du continent ? </s>,1
entre 7 et 10 ans,entre 7 et 10 ans,question: A quel âge le mâle est-il sexuellement mûr ? </s>,1
25 a 13 av. J.-C.,de 25 à 13 av. J.-C,question: Durant quelle période la legio XX Valeria Victrix a pris part aux guerres cantabres ? </s>,1
l'eglise batie a cet,on ne sait pas où se trouvait ce jardin,question: Connaît-on avec certitude le lieux d'enterrement de la Vierge ? </s>,1
grande quantite de carbone doit etre sequestre,si la masse d'algue se dépose au,question: Quelles sont les conditions permettant à l'algue d'impacter l'effet de serre? </s>,1
Faile Bashere,Faile Bashere,question: Comment se nomme la femme de Perrin ? </s>,1
Masseroni,le président Masseroni,question: Qui a annoncé que le club s’appelerait l’Internazionale ? </s>,1
myrosinase,myrosinase,question: Avec quoi les glucosinolates doivent être associés pour devenir un composé actif </s>,1
118 av. J.-C.,146 av. J.-C,question: En quelle année l'histoire romaine de Polybe s'arrête-t-elle ? </s>,1
Grimrr Demi-Patte,Grimrr Demi-Patte,question: Qui est le roi des chats ? </s>,1
Cobra,Ricco,question: De quel courreur l'équipe cycliste Vacansoleil-DCM résilie-t-elle le contrat? </s>,1
abriteront successivement,Arche d'alliance,question: Où se trouve le tabernacle de l’exode ? </s>,1
augmenter leur productivite,augmenter leur productivité,question: Que permet l'accès au marché des intrants ? </s>,1
Abd al-Rahman,Abd al-Rahmn,question: Qui conqueri Pampelune en 781 ? </s>,1
"29 j 12 h 44 min 3,3 s","29 j 12 h 44 min 3,3 s",question: Quelle est la durée du mois synodique selon Kidinnu ? </s>,1
"cisaille en fragments aleatoires, selectionnes",vecteur,"question: Que fournit l'inidividu de départ pour être cloné (la réponse attendue n'étant pas ""ADN"") ? </s>",1
1354,1354,question: De quand date l'arrivée des ottomans en europe ? </s>,1
tentation incestueuse entre un fils et,récit de la tentation incestueuse entre un fils,question: Que raconte le roman Petit ami de Paul Léautaud ? </s>,1
coup d'État militaire,Le général instaure un régime autoritaire où la loi martial,question: Qu'est ce qui a réduit la marge de manoeuvre des opposant politiques au Pakistan à partir de 1979? </s>,1
Senat,Sénat,question: Avec le soutien de quelle institution la Guilde publie-t-elle la deuxième Ordonnance ? </s>,1
le 3 novembre 1973,le 3 novembre 1973,question: Quand la sonde spaciale Mariner 10 fut lancée ? </s>,1
Daga,Ten,question: Combien de catcheurs Fénix a-t-il combattu lors de l'événement Triplemania XXII? </s>,1
1641,1641,question: En quelle année les Augustins déchaux fondent-ils un couvent à Ljubljana ? </s>,1
l'album Blood World,grâce à l'album Blood World,question: Comment le groupe Mortification a atteint le succès ? </s>,1
l'aeronautique,fréquentes punitions de la part de son père,question: Le père de Frederick Sydney Cotton était-il pacifique ? </s>,1
l'hippocampe et le pallidum,hippocampe et le pallidum,question: Quels réseaux jouent un rôle dans le déplacement de l'information sensorielle? </s>,1
Constitution sud-africaine,Constitution sud-africaine,question: Par quel document les langues officielles d'Afrique du Sud sont elle reconnues ? </s>,1
Orascom Telecom Algerie,opérateur Djezzy (Orascom Télécom,question: Quel opérateur a lancé BlackBerry en 2007 en Algerie? </s>,1
Tchang Kai-chek,Tchang Ka-chek,question: Qui est le chef de l'académie militaire de Huangpu ? </s>,1
David Hume (1740) et Adam Smith,David Hume (1740) et Adam Smith (1776,question: Quels sont les philosophes qui ont inspiré les doctrines libérales de David Ricardo ? </s>,1
les membres du Conseil devront desormais représenter les,changement de gouvernance,question: Quelles ont été les conséquences institutionnelles de la révision en 1954 de l'Acte constitutif de l'UNESCO ? </s>,1
2e,2e,question: Quelle place obtient Florian Schillinger lors des championnats d'Allemagne des moins de 16 ans en 2001 ? </s>,1
Seine,la Seine,question: De quelle région Jean est il sénateur ? </s>,1
catholique non-violent et premier Espagnol,catholique non-violent et premier Espagnol,question: Qui est José Beunza ? </s>,1
relais 4  quatre nages,la médaille d'argent,question: quel titre Ian Thorpe a t-il remporté ? </s>,1
l’Universite de Sydney,Université de Sydney,question: Où a été créer le premier club de rugby à XV en Australie ? </s>,1
"la vision, l’image","la vision, l’image",question: Qu'est-ce qui était essentiel pour Sergueï Paradjanov ? </s>,1
affaires internes de l'Eglise,les affaires internes de l'Église,question: De quelles affaires la justice ecclésiastique traite-t-elle? </s>,1
l'Afrique,Afrique est le deuxième continent le plus peuplé,question: quel est le deuxieme continent en terme de nombre d'habitant </s>,1
l'Universite d'Alaska,navette spatiale,question: D'où les farfadets ont été vus pour la première fois  ? </s>,1
loisirs,familles,question: A qui les bancs étaient-ils destinés ? </s>,1
l'autre moitie du cote du mont,renouvellement de l'alliance par Josué,question: Que s'est-il passé entre les montagnes Garizim et Ebal ? </s>,1
anglais,inuktitut,question: Quelle langue est utilisée majoritairement au Nunavut ? </s>,1
Mourad Bey,Mourad Bey,question: Par qui une dynastie beylicale est-elle fondée en 1613 ? </s>,1
l'acces au gibier et a,l'accès au gibier et à la,question: Qu’améliore l’usage d’aboiteaux ? </s>,1
tresorerie,"conception, la réalisation et la mise au point de prototypes",question: A quelle tâches répond l'aide directe à l'innovation ? </s>,1
Lord Carnarvon,Lord Carnarvon,question: Qui est le secrétaire aux Colonies ? </s>,1
Nanaya,la déesse Nanaya,question: À quelle divinité mésopotamienne la communauté grecque de Susiane offre-t-elle ses esclaves pour les affranchir ? </s>,1
huitieme,septième,"question: A quelle place se positionne la France en termes de richesses, à l'échelle planétaire ? </s>",1
Rome,Rome,"question: En 2016, quelle est la capitale de l'Italie? </s>",1
collectionneurs compulsifs,bibliomanes,question: Comment appelle-t-on les collectionneurs de livres ? </s>,1
Centre national des arts plastiques,Centre national des arts plastiques,question: Que signifie Cnap ? </s>,1
depuis l'Union sovietique en 1984 et,1952,question: Depuis quand l'équipe du Canada n'avait pas remporté le titre olympique ? </s>,1
Comite executif de trois membres,le gouvernement,question: qui gere l'executif? </s>,1
1613,1613,question: En quelle année Mourad Bey fonde-t-il une dynastie beylicale ? </s>,1
120 millions d'euros,120 millions d'euros,question: Quel est le montant du capital de la caisse central? </s>,1
tres lifte,redoutable,question: Comment est le second service de Maria Kirilenko? </s>,1
Julius Nyerere,Julius Nyerere,question: Qui dirigeait la Tanzanie en 1967 ? </s>,1
Harry Roselmack,Harry Roselmack,question: Qui prend la place de PPD dans les Guignols de façon hebdomadaire ? </s>,1
pragmatisme,Peirce,question: qui est le théoricien du faillibilisme? </s>,1
"dans une vaste zone limitee par Nimes, Montelimar","Nîmes, Montélimar, Gap, Digne",question: C'est où le miel est élaborés ? </s>,1
Societe des Nations,Société des Nations,question: Quelle organisation internationale confie l'administration du Cameroun à la France et à l'Angleterre après la défaite allemande ? </s>,1
Aviemore,Aviemore,question: Où fut enregistrer le record de froid en Ecosse ? </s>,1
ne consomme pas elle-meme une re,"sa vitesse de destruction dépasse, largement ou non,",question: Qu'est qu'une ressource non renouvelable ? </s>,1
trois,trois fusils,question: Combien de fusils candidats ont été testés pour remplacer le M4 dans l'US Army ? </s>,1
entre autres Mick Jagger,"à Bangor, au Pays de Galles",question: Où médite Marianne Faithfull ? </s>,1
successeur de Paul IV,pape,question: Qui est Pie IV ? </s>,1
ils sont des activistes d'extreme-droit,pour venger la mort de Eyal Yifrach,question: Pourquoi les suspects auraient-ils agi ? </s>,1
Dieu,Dieu,"question: Selon Thomas d'Aquin, à qui s'applique l'expression ""l'être absolu""? </s>",1
Dada,Dada,question: de qui Truffaut est-il l'héritier spirituel ? </s>,1
Danny Cox,dirigeants,question: Qui prend la décision de quitter l'équipe professionnelle ? </s>,1
l'Habitation de Port-Royal,à l'île Sainte-Croix,question: Où a été créée la colonie fondée par Pierre Dugua de Mons ? </s>,1
Wuhan,Wuhan,question: Dans quelle ville chinois est située l'université de Wuhan ? </s>,1
Les Mamelles de Tiresias,"Les Mamelles de Tirésias, « dra",question: Quel est le titre de l'oeuvre théatrale écrite par Apollinaire ? </s>,1
rugby,le football,question: Quel sport est plus apprécié en Ecosse que le rugby? </s>,1
Giovanni da Verrazzano,Giovanni da Verrazzano,question: quel est le nom de l'explorateur maritime missionné par la France en 1524 </s>,1
1878,1878,"question: En quelle année Peirce publie-t-il ""How to make our ideas clear""? </s>",1
"kepis, casquettes, chapeaux de toile",des couvre-chefs plus légers : k,question: Par quels accessoires est remplacé le casque colonial en matière de protection solaire ? </s>,1
Hommes de Lettres,Amara,question: Qui Dieu et Lucifer veulent-ils attaquer ? </s>,1
hakko ichi'u,hakk ichi'u,question: Quelle idéologie considère le Japon comme le centre du monde ? </s>,1
deux,vingt-neuf,"question: Combien de ""gros paquets"" seront détruits par l'arrêt du conseil du roi dans l'affaire des poissons ? </s>",1
Inter Milan,l'Inter,question: Quelle est le seul club italien à n'avoir jamais été relégué ? </s>,1
Anglais,en 1897,question: En quelle énnée la Coupe Manier a-t-elle été créée ? </s>,1
quelques jours,quelques jours,question: Combien de temps un carpophore survit-il en moyenne ? </s>,1
Hugo Chavez,Hugo Chávez,question: Quel président a lancé Tele Sud ? </s>,1
l'abri du sida,préservatif,question: Comment se protéger du VIH? </s>,1
Weifang,"à Weifang, dans la province du Shandong,",question: Où est basé le groupe Weichai ? </s>,1
Manifeste du surrealisme,le premier Manifeste,question: Dans quel document sont inscrits pour la première fois les fondements du mouvement surréaliste ? </s>,1
abandonne,abandonné,question: Le projet de Chappelle parvient-il à sa fin ? </s>,1
007,Xenia,question: Qui doit mener Bond à Janus ? </s>,1
la périodee indo-europeenne ancienne de la langue,période indo-européenne,question: De quelle période les tenants de l'hypothèse nord-européenne date le mot d'origine commun pour le saumon ? </s>,1
Nigeria,Nigeria,question: Dans quel pays se situe la ville de Jos ? </s>,1
Bridgeport,à Bridgeport (Connecticut,question: Où est mort Anselm Franz ? </s>,1
atrophier l'economie americaine,atrophier l'économie américaine,question: Dans quel but les britanniques ont interdit la vente de produits des colonies à d'autres pays que la Grande-Bretagne ? </s>,1
en petit nombre,en petit nombre,question: Quel était la proportion de Spartiates par rapport à leur population servile ? </s>,1
dans le chef-lieu du departement,chef-lieu de la région,question: Où est situé la préfecture de région? </s>,1
le Cadre noir,le Cadre noir,question: Comment est surnommée l'école nationale d'équitation ? </s>,1
"archeologue, editorialiste et homme politique",archéologue,question: Quel est la profession de Giovanni Lilliu ? </s>,1
221B Baker Street,221B Baker Street,question: où va le docteur Watson ? </s>,1
au college Rollin,au collège Rollin,question: dans quel établissement Francis Monnier était-il professeur ? </s>,1
dos,dos,question: Pour quelle partie du corps le tennis est-il exigeant ? </s>,1
pensent avoir affaire a une maison d'e,non revue par les pairs,question: Pourquoi les revues prédatrices ne sont pas aussi fiables pour les chercheurs que les vraies revues ? </s>,1
des courses du Pro-Tour,10,question: A combien de courses l'équipe cycliste est-elle invitée en 2009? </s>,1
Dantzig,Dantzig,question: De quelle ville est origine la première population du camp de concentration du Stutthof? </s>,1
censes correspondre a des types de personna,Les signes du zodiaque sont censés correspond,question: les signes du zodiaque c'est quoi ? </s>,1
abbesses,chrétienne,question: quelle est la communauté religieuses canadienne prépondérante? </s>,1
Eocene et de l'Olig,l'Éocène,question: À quelle ère eu lieu un grand changement climatique ? </s>,1
Johannes Schmidt,Le linguiste Johannes Schmidt,question: Qui évoque les territoires pour expliquer le manque de mots pour désigner le saumon ? </s>,1
rhinoceros blanc,witte neushoorn,question: Comment appele-t-on rhinocéros en néerlandais ? </s>,1
membres de Nation of Islam,Malcolm Little,question: qui a changé son nom en X en 1952 pour rappeler ses origines de descendant d'esclaves? </s>,1
70 %,70 %,question: Quelle part a le charbon dans la consommation énergétique chinoise ? </s>,1
la musique setifienne dans le nord du pays,la musique sétifienne,question: Quel style de musique a-t-il été influencé par le Diwan dans le nord de l'Algérie ? </s>,1
six,six autres langues,"question: Depuis la ratification de la Charte européenne, combien de langues supplémentaires sont reconnues? </s>",1
entites politiques et mutualistes,"des stratégies, déterminent les grandes orientations e",question: Que décident les fédérations ? </s>,1
Sud des États-Unis,États du Sud,question: Dans quels Etats le droit de vote pour les noirs a-t-il été illégal ? </s>,1
dialectes chinois,source sans fin de discussions,question: le chinois parlé est-il une langue? </s>,1
Mariner 10,Mariner 10,question: Quelle est la première sonde à avoir utilisé l'assistance gravitationnelle d'une planète pour modifier sa trajectoire ? </s>,1
gains d'un jeu de hasard interrompu,des gains,question: Que partage-t-on dans le problème des partis ? </s>,1
les personnes les mieux formees sont généralement en ont,personnes les mieux formées,question: qui parle mandarin dans le sud de la Chine ? </s>,1
le Comcast Building,Comcast Building,question: Quel est le gratte-ciel le plus élevé du Rockfeller Center ? </s>,1
guerre,la guerre,question: Quel événement a fait que Pierre-Alain Hélias a changé de métier ? </s>,1
membres de Nation of Islam,Malcolm Little,question: qui a incité les descendants d'esclaves à changer leur nom en X? </s>,1
grande quantite de carbone doit etre sequestre,une grande quantité de carbone doit être séquestrée,question: Quelles sont les conditions permettant à l'algue d'impacter l'effet de serre? </s>,1
